video_id,split,action,true_count,pred_count,abs_err,pred_periods_json,true_periods_json,candidate_count,accepted_count,mean_confidence,vote_k,status,method
stu10_64,train,squat,2,0,2,[],"[[0,105],[105,352]]",3,0,0.0,2,ok,proposed_phase_vote
stu1_50,train,push_up,13,5,8,"[[624,680],[732,788],[788,844],[844,914],[914,978]]","[[504,545],[545,587],[587,636],[636,694],[694,749],[771,814],[814,866],[866,931],[931,996],[1005,1045],[1045,1103],[1103,1160],[1160,1225]]",20,5,0.6996642795988358,2,ok,proposed_phase_vote
stu3_38,train,pull_up,9,5,4,"[[304,352],[475,496],[496,515],[598,642],[1047,1089]]","[[10,87],[87,161],[161,237],[237,328],[329,427],[427,570],[570,673],[673,862],[862,1087]]",44,5,0.6409086176677223,2,ok,proposed_phase_vote
stu3_44,train,push_up,11,8,3,"[[41,72],[175,211],[211,247],[247,284],[284,320],[320,364],[364,408],[408,450]]","[[19,61],[156,193],[193,230],[230,269],[269,306],[306,339],[339,387],[387,428],[429,471],[471,512],[512,548]]",18,8,0.7143341777338681,2,ok,proposed_phase_vote
stu3_48,train,push_up,54,46,8,"[[489,516],[516,538],[538,560],[586,609],[609,631],[631,656],[656,679],[679,701],[701,724],[724,745],[745,768],[768,790],[790,813],[813,835],[835,858],[858,882],[882,904],[904,926],[926,949],[949,973],[973,996],[996,1019],[1019,1042],[1042,1065],[1065,1089],[1089,1109],[1109,1135],[1135,1158],[1158,1183],[1183,1207],[1207,1231],[1231,1256],[1256,1281],[1281,1308],[1308,1331],[1331,1355],[1355,1381],[1381,1406],[1406,1431],[1431,1461],[1461,1486],[1486,1517],[1517,1548],[1548,1582],[1610,1654],[1654,1690]]","[[14,42],[42,89],[89,115],[115,137],[137,160],[461,505],[505,533],[533,557],[557,580],[580,602],[602,626],[627,650],[650,675],[675,697],[697,719],[719,741],[741,765],[765,786],[786,809],[809,832],[832,854],[854,878],[878,903],[903,922],[922,945],[945,968],[968,992],[992,1014],[1014,1039],[1039,1067],[1067,1094],[1094,1115],[1115,1136],[1136,1159],[1159,1184],[1184,1211],[1211,1232],[1232,1258],[1258,1277],[1277,1305],[1305,1329],[1329,1353],[1353,1380],[1380,1406],[1406,1433],[1433,1461],[1461,1489],[1489,1510],[1510,1541],[1541,1572],[1572,1608],[1608,1645],[1645,1688],[1688,1736]]",60,46,0.7531566681817038,2,ok,proposed_phase_vote
stu3_60,train,squat,4,4,0,"[[37,74],[74,114],[114,154],[154,192]]","[[8,65],[65,111],[111,150],[150,187]]",4,4,0.6775207751937679,2,ok,proposed_phase_vote
stu3_72,train,squat,1,0,1,[],"[[127,299]]",1,0,0.0,2,ok,proposed_phase_vote
stu4_36,train,pull_up,6,2,4,"[[621,664],[868,902]]","[[56,113],[476,549],[578,684],[688,767],[838,907],[942,1015]]",31,2,0.7066432553280197,2,ok,proposed_phase_vote
stu5_34,train,pull_up,52,51,1,"[[96,107],[107,118],[118,129],[139,150],[150,161],[161,172],[172,183],[183,194],[194,205],[205,216],[216,227],[227,239],[239,250],[250,262],[262,274],[274,287],[287,300],[300,324],[324,344],[360,384],[448,459],[459,469],[469,480],[480,492],[492,515],[515,532],[532,552],[552,573],[586,599],[599,614],[701,713],[713,725],[725,736],[736,748],[748,771],[771,791],[791,817],[993,1005],[1005,1016],[1016,1027],[1027,1038],[1038,1050],[1050,1075],[1075,1095],[1095,1121],[1174,1208],[1298,1356],[1356,1373],[1373,1392],[1392,1410],[1410,1435]]","[[91,102],[102,113],[113,124],[124,136],[136,145],[145,156],[156,167],[168,179],[179,189],[189,201],[201,211],[211,222],[222,234],[234,246],[246,256],[256,269],[269,281],[281,294],[294,309],[314,331],[440,453],[453,465],[465,475],[475,486],[486,499],[499,523],[524,542],[542,562],[562,586],[696,709],[709,720],[720,731],[731,743],[743,755],[755,779],[779,803],[804,829],[976,988],[988,1000],[1000,1011],[1011,1022],[1022,1034],[1034,1045],[1045,1058],[1068,1084],[1088,1103],[1103,1130],[1347,1366],[1366,1384],[1384,1401],[1402,1417],[1417,1445]]",83,51,0.7850087043645558,2,ok,proposed_phase_vote
stu5_44,train,push_up,12,11,1,"[[187,232],[232,287],[287,341],[341,406],[406,465],[465,508],[701,814],[814,928],[1081,1210],[1237,1307],[1386,1446]]","[[148,205],[205,256],[256,315],[315,373],[373,430],[430,493],[913,972],[972,1044],[1045,1121],[1179,1257],[1257,1333],[1333,1421]]",25,11,0.7276821292997112,2,ok,proposed_phase_vote
stu6_27,train,pull_up,5,2,3,"[[164,190],[298,375]]","[[2,64],[67,130],[178,256],[268,325],[343,404]]",9,2,0.5817169377378317,2,ok,proposed_phase_vote
stu6_45,train,push_up,10,9,1,"[[123,207],[207,289],[289,370],[370,450],[450,526],[526,606],[606,686],[686,766],[766,841]]","[[75,155],[156,258],[259,339],[339,408],[408,489],[489,552],[552,630],[630,711],[711,790],[795,866]]",9,9,0.8556447934560337,2,ok,proposed_phase_vote
stu7_46,train,push_up,16,12,4,"[[25,57],[89,118],[118,153],[183,217],[671,707],[707,742],[742,779],[779,818],[818,859],[859,899],[899,940],[940,982]]","[[9,41],[41,72],[72,106],[106,136],[136,170],[171,201],[201,234],[643,691],[691,724],[724,763],[763,801],[801,842],[842,885],[885,923],[923,964],[965,1010]]",25,12,0.8508089334562854,2,ok,proposed_phase_vote
stu8_39,train,pull_up,16,8,8,"[[114,145],[145,174],[274,310],[322,347],[432,454],[636,653],[653,681],[681,696]]","[[1,22],[22,48],[48,73],[73,123],[123,159],[159,200],[200,240],[240,294],[294,336],[336,379],[379,423],[423,481],[481,534],[534,584],[584,638],[638,690]]",36,8,0.7127728163836067,2,ok,proposed_phase_vote
stu8_68,train,squat,3,2,1,"[[142,180],[180,229]]","[[113,160],[160,210],[210,272]]",2,2,0.790782482523319,2,ok,proposed_phase_vote
stu9_42,train,pull_up,30,22,8,"[[213,238],[238,273],[273,302],[302,334],[334,358],[358,392],[392,417],[417,446],[446,476],[476,506],[506,541],[541,568],[568,593],[593,621],[621,655],[655,683],[683,708],[708,738],[738,774],[774,807],[807,839],[839,873]]","[[183,221],[221,251],[251,282],[282,313],[313,344],[344,372],[372,402],[402,431],[431,461],[461,491],[491,520],[520,549],[549,576],[577,607],[607,634],[634,663],[663,692],[692,723],[723,751],[752,784],[784,816],[816,848],[848,881],[881,915],[915,952],[952,991],[991,1029],[1029,1072],[1072,1119],[1179,1229]]",42,22,0.6474798180131238,2,ok,proposed_phase_vote
stu9_54,train,push_up,26,13,13,"[[178,232],[232,286],[286,340],[340,386],[386,429],[564,585],[683,745],[914,971],[971,1030],[1486,1534],[1534,1577],[1577,1624],[1706,1744]]","[[145,207],[208,265],[265,310],[310,359],[359,405],[405,448],[449,523],[523,593],[593,654],[654,708],[708,764],[764,819],[819,875],[875,946],[946,1000],[1000,1053],[1053,1106],[1106,1149],[1149,1199],[1199,1338],[1338,1471],[1476,1528],[1528,1573],[1573,1627],[1627,1672],[1672,1766]]",47,13,0.6533723433038302,2,ok,proposed_phase_vote
test2298,train,squat,2,0,2,[],"[[22,94],[149,220]]",3,0,0.0,2,ok,proposed_phase_vote
test2317,train,squat,3,2,1,"[[56,105],[105,147]]","[[21,108],[109,196],[196,284]]",9,2,0.6315390966571846,2,ok,proposed_phase_vote
test2323,train,squat,2,0,2,[],"[[0,129],[144,292]]",2,0,0.0,2,ok,proposed_phase_vote
stu10_39,valid,pull_up,10,8,2,"[[45,84],[84,123],[123,164],[164,201],[329,365],[724,744],[852,882],[882,911]]","[[62,102],[102,139],[139,181],[181,223],[223,269],[269,342],[342,398],[398,459],[459,539],[774,897]]",30,8,0.6668883986140931,2,ok,proposed_phase_vote
stu1_39,valid,pull_up,6,6,0,"[[169,224],[224,279],[335,394],[478,571],[571,604],[832,888]]","[[49,99],[99,143],[143,190],[190,256],[324,365],[365,415]]",33,6,0.7229366025412428,2,ok,proposed_phase_vote
stu1_47,valid,push_up,6,4,2,"[[179,275],[275,368],[368,452],[452,554]]","[[63,138],[138,216],[216,300],[300,404],[404,497],[497,579]]",6,4,0.7759065459985478,2,ok,proposed_phase_vote
stu3_50,valid,push_up,28,27,1,"[[35,68],[68,102],[102,137],[137,174],[174,209],[209,245],[245,291],[291,330],[330,374],[374,416],[416,459],[459,501],[501,544],[544,589],[589,632],[632,678],[678,723],[723,769],[769,817],[817,863],[863,910],[910,955],[955,1001],[1001,1051],[1051,1102],[1102,1153],[1153,1202]]","[[21,49],[49,89],[89,123],[123,155],[155,192],[192,226],[226,264],[264,309],[309,347],[347,387],[387,435],[435,481],[481,532],[532,569],[569,614],[614,661],[661,704],[704,756],[756,803],[803,852],[852,892],[892,941],[941,982],[982,1028],[1028,1076],[1076,1134],[1134,1178],[1178,1230]]",27,27,0.9206784378718745,2,ok,proposed_phase_vote
stu3_66,valid,squat,9,8,1,"[[197,250],[250,303],[303,356],[356,409],[409,465],[465,518],[568,618],[618,668]]","[[180,227],[227,282],[282,337],[337,391],[392,450],[450,494],[494,553],[553,600],[600,649]]",11,8,0.7862807729238139,2,ok,proposed_phase_vote
stu5_71,valid,squat,19,17,2,"[[39,98],[98,154],[154,214],[214,277],[277,342],[342,400],[400,460],[460,511],[511,561],[561,610],[610,656],[656,712],[765,815],[815,866],[866,914],[914,968],[968,1014]]","[[19,64],[64,118],[118,185],[185,244],[244,308],[308,369],[369,425],[425,486],[486,539],[539,590],[590,634],[634,684],[684,736],[736,787],[787,839],[839,889],[889,942],[942,989],[989,1030]]",18,17,0.8294005272152413,2,ok,proposed_phase_vote
stu6_57,valid,squat,15,9,6,"[[92,168],[315,388],[467,531],[531,599],[674,758],[1152,1226],[1226,1309],[1309,1378],[1453,1540]]","[[45,126],[127,210],[210,275],[275,358],[358,421],[421,494],[496,564],[564,639],[639,712],[712,802],[1121,1201],[1203,1270],[1273,1355],[1355,1421],[1422,1495]]",24,9,0.7129697663294461,2,ok,proposed_phase_vote
stu7_66,valid,squat,13,11,2,"[[36,105],[177,266],[266,342],[342,422],[422,494],[494,573],[573,647],[647,714],[714,796],[796,862],[862,937]]","[[6,65],[65,134],[138,202],[209,293],[295,374],[377,446],[446,524],[524,600],[600,670],[674,746],[749,819],[819,888],[892,965]]",12,11,0.7055512529803083,2,ok,proposed_phase_vote
stu8_37,valid,pull_up,10,8,2,"[[347,364],[428,452],[602,618],[811,839],[924,950],[1064,1098],[1184,1226],[1238,1260]]","[[122,231],[231,315],[315,402],[402,493],[493,580],[580,680],[680,784],[784,908],[908,1044],[1044,1199]]",57,8,0.6591187272923227,2,ok,proposed_phase_vote
train2716,valid,push_up,10,0,10,[],"[[1,32],[32,62],[62,90],[90,121],[121,154],[154,183],[183,213],[213,244],[244,272],[273,299]]",8,0,0.0,2,ok,proposed_phase_vote
