video_id,split,action,true_count,pred_count,abs_err,pred_periods_json,true_periods_json,primary_signal,mean_confidence,n_rejects,n_crossings,n_candidates,n_accepted,reject_fail_vote,reject_fail_phi,reject_fail_r,moving_fraction,status,method
stu10_64,train,squat,2,0,2,[],"[[0,105],[105,352]]",knee_flex,0.0,2,7,2,0,2,6,2,0.772020725388601,ok,phase_native_online_phase_crossing
stu1_50,train,push_up,13,4,9,"[[150,182],[759,822],[1091,1125],[1211,1246]]","[[504,545],[545,587],[587,636],[636,694],[694,749],[771,814],[814,866],[866,931],[931,996],[1005,1045],[1045,1103],[1103,1160],[1160,1225]]",elbow_flex,0.6253314690893929,12,29,16,4,12,33,3,0.8859934853420195,ok,phase_native_online_phase_crossing
stu3_38,train,pull_up,9,2,7,"[[393,407],[1051,1070]]","[[10,87],[87,161],[161,237],[237,328],[329,427],[427,570],[570,673],[673,862],[862,1087]]",elbow_flex,0.5706126814862708,41,79,43,2,41,108,11,0.9301533219761499,ok,phase_native_online_phase_crossing
stu3_44,train,push_up,11,3,8,"[[155,182],[182,219],[375,415]]","[[19,61],[156,193],[193,230],[230,269],[269,306],[306,339],[339,387],[387,428],[429,471],[471,512],[512,548]]",elbow_flex,0.7540402755096346,9,21,12,3,9,22,2,0.7466124661246613,ok,phase_native_online_phase_crossing
stu3_48,train,push_up,54,38,16,"[[116,134],[165,234],[593,615],[615,638],[661,685],[693,707],[707,730],[752,775],[775,797],[797,820],[842,865],[865,888],[888,910],[910,932],[963,979],[979,1002],[1002,1025],[1025,1048],[1048,1070],[1070,1096],[1096,1116],[1116,1141],[1164,1189],[1189,1213],[1237,1261],[1261,1288],[1288,1314],[1338,1362],[1370,1388],[1388,1414],[1424,1437],[1467,1494],[1505,1524],[1524,1546],[1554,1576],[1586,1617],[1623,1658],[1667,1696]]","[[14,42],[42,89],[89,115],[115,137],[137,160],[461,505],[505,533],[533,557],[557,580],[580,602],[602,626],[627,650],[650,675],[675,697],[697,719],[719,741],[741,765],[765,786],[786,809],[809,832],[832,854],[854,878],[878,903],[903,922],[922,945],[945,968],[968,992],[992,1014],[1014,1039],[1039,1067],[1067,1094],[1094,1115],[1115,1136],[1136,1159],[1159,1184],[1184,1211],[1211,1232],[1232,1258],[1258,1277],[1277,1305],[1305,1329],[1329,1353],[1353,1380],[1380,1406],[1406,1433],[1433,1461],[1461,1489],[1489,1510],[1510,1541],[1541,1572],[1572,1608],[1608,1645],[1645,1688],[1688,1736]]",elbow_flex,0.7509230202653508,20,81,58,38,20,56,1,0.9310344827586207,ok,phase_native_online_phase_crossing
stu3_60,train,squat,4,0,4,[],"[[8,65],[65,111],[111,150],[150,187]]",knee_flex,0.0,0,3,0,0,0,0,0,0.8095238095238095,ok,phase_native_online_phase_crossing
stu3_72,train,squat,1,0,1,[],"[[127,299]]",knee_flex,0.0,1,2,1,0,1,3,0,0.8825503355704698,ok,phase_native_online_phase_crossing
stu4_36,train,pull_up,6,3,3,"[[420,443],[807,838],[975,1017]]","[[56,113],[476,549],[578,684],[688,767],[838,907],[942,1015]]",elbow_flex,0.6502909357449783,24,47,27,3,24,68,1,0.8350419384902144,ok,phase_native_online_phase_crossing
stu5_34,train,pull_up,52,29,23,"[[160,172],[194,205],[205,217],[217,227],[227,239],[239,250],[250,263],[263,275],[275,288],[288,301],[301,326],[326,344],[451,461],[461,472],[516,532],[532,552],[552,572],[750,772],[772,790],[790,814],[856,914],[914,984],[995,1007],[1075,1095],[1095,1119],[1201,1224],[1301,1360],[1376,1395],[1395,1410]]","[[91,102],[102,113],[113,124],[124,136],[136,145],[145,156],[156,167],[168,179],[179,189],[189,201],[201,211],[211,222],[222,234],[234,246],[246,256],[256,269],[269,281],[281,294],[294,309],[314,331],[440,453],[453,465],[465,475],[475,486],[486,499],[499,523],[524,542],[542,562],[562,586],[696,709],[709,720],[720,731],[731,743],[743,755],[755,779],[779,803],[804,829],[976,988],[988,1000],[1000,1011],[1011,1022],[1022,1034],[1034,1045],[1045,1058],[1068,1084],[1088,1103],[1103,1130],[1347,1366],[1366,1384],[1384,1401],[1402,1417],[1417,1445]]",elbow_flex,0.7857330469218747,18,62,47,29,18,46,2,0.8730839975475169,ok,phase_native_online_phase_crossing
stu5_44,train,push_up,12,3,9,"[[212,260],[811,849],[912,985]]","[[148,205],[205,256],[256,315],[315,373],[373,430],[430,493],[913,972],[972,1044],[1045,1121],[1179,1257],[1257,1333],[1333,1421]]",elbow_flex,0.6172948923416225,8,29,11,3,8,19,0,0.8508064516129032,ok,phase_native_online_phase_crossing
stu6_27,train,pull_up,5,0,5,[],"[[2,64],[67,130],[178,256],[268,325],[343,404]]",elbow_flex,0.0,4,11,4,0,4,11,1,0.8966346153846154,ok,phase_native_online_phase_crossing
stu6_45,train,push_up,10,2,8,"[[512,594],[683,757]]","[[75,155],[156,258],[259,339],[339,408],[408,489],[489,552],[552,630],[630,711],[711,790],[795,866]]",elbow_flex,0.9566196127639455,0,11,2,2,0,0,0,0.8441422594142259,ok,phase_native_online_phase_crossing
stu7_46,train,push_up,16,4,12,"[[144,177],[768,804],[928,970],[970,1009]]","[[9,41],[41,72],[72,106],[106,136],[136,170],[171,201],[201,234],[643,691],[691,724],[724,763],[763,801],[801,842],[842,885],[885,923],[923,964],[965,1010]]",elbow_flex,0.8330807913810806,12,35,16,4,12,32,0,0.8280943025540275,ok,phase_native_online_phase_crossing
stu8_39,train,pull_up,16,7,9,"[[115,145],[242,278],[284,315],[326,353],[539,567],[607,642],[642,658]]","[[1,22],[22,48],[48,73],[73,123],[123,159],[159,200],[200,240],[240,294],[294,336],[336,379],[379,423],[423,481],[481,534],[534,584],[584,638],[638,690]]",elbow_flex,0.6606157252071616,17,55,24,7,17,39,2,0.9568452380952381,ok,phase_native_online_phase_crossing
stu8_68,train,squat,3,0,3,[],"[[113,160],[160,210],[210,272]]",knee_flex,0.0,1,5,1,0,1,2,0,0.8248175182481752,ok,phase_native_online_phase_crossing
stu9_42,train,pull_up,30,20,10,"[[278,302],[308,339],[339,362],[368,393],[458,483],[488,513],[525,547],[547,574],[574,599],[603,628],[671,689],[689,714],[719,749],[760,780],[844,868],[912,937],[948,972],[987,1011],[1069,1107],[1114,1185]]","[[183,221],[221,251],[251,282],[282,313],[313,344],[344,372],[372,402],[402,431],[431,461],[461,491],[491,520],[520,549],[549,576],[577,607],[607,634],[634,663],[663,692],[692,723],[723,751],[752,784],[784,816],[816,848],[848,881],[881,915],[915,952],[952,991],[991,1029],[1029,1072],[1072,1119],[1179,1229]]",elbow_flex,0.6460352827598022,13,60,33,20,13,31,1,0.9321305841924399,ok,phase_native_online_phase_crossing
stu9_54,train,push_up,26,13,13,"[[190,239],[298,347],[549,568],[568,590],[590,620],[655,692],[692,751],[805,859],[927,980],[1093,1134],[1143,1184],[1493,1540],[1710,1750]]","[[145,207],[208,265],[265,310],[310,359],[359,405],[405,448],[449,523],[523,593],[593,654],[654,708],[708,764],[764,819],[819,875],[875,946],[946,1000],[1000,1053],[1053,1106],[1106,1149],[1149,1199],[1199,1338],[1338,1471],[1476,1528],[1528,1573],[1573,1627],[1627,1672],[1672,1766]]",elbow_flex,0.6799347862971538,9,45,22,13,9,22,0,0.871131119864941,ok,phase_native_online_phase_crossing
test2298,train,squat,2,0,2,[],"[[22,94],[149,220]]",knee_flex,0.0,1,3,1,0,1,3,0,0.8160535117056856,ok,phase_native_online_phase_crossing
test2317,train,squat,3,2,1,"[[97,126],[230,267]]","[[21,108],[109,196],[196,284]]",knee_flex,0.7295473952496445,2,10,4,2,2,6,1,0.8561643835616438,ok,phase_native_online_phase_crossing
test2323,train,squat,2,0,2,[],"[[0,129],[144,292]]",knee_flex,0.0,1,4,1,0,1,3,0,0.8187919463087249,ok,phase_native_online_phase_crossing
stu10_39,valid,pull_up,10,3,7,"[[109,144],[234,269],[847,880]]","[[62,102],[102,139],[139,181],[181,223],[223,269],[269,342],[342,398],[398,459],[459,539],[774,897]]",elbow_flex,0.6634955725032159,13,31,16,3,13,35,1,0.875,ok,phase_native_online_phase_crossing
stu1_39,valid,pull_up,6,8,2,"[[129,157],[328,371],[505,554],[705,746],[746,764],[764,789],[1066,1108],[1139,1197]]","[[49,99],[99,143],[143,190],[190,256],[324,365],[365,415]]",elbow_flex,0.7256001808342563,10,32,18,8,10,24,2,0.8585503166783955,ok,phase_native_online_phase_crossing
stu1_47,valid,push_up,6,0,6,[],"[[63,138],[138,216],[216,300],[300,404],[404,497],[497,579]]",elbow_flex,0.0,0,6,0,0,0,0,0,0.8864774624373957,ok,phase_native_online_phase_crossing
stu3_50,valid,push_up,28,3,25,"[[265,310],[884,931],[1073,1125]]","[[21,49],[49,89],[89,123],[123,155],[155,192],[192,226],[226,264],[264,309],[309,347],[347,387],[387,435],[435,481],[481,532],[532,569],[569,614],[614,661],[661,704],[704,756],[756,803],[803,852],[852,892],[892,941],[941,982],[982,1028],[1028,1076],[1076,1134],[1134,1178],[1178,1230]]",elbow_flex,0.9450791671628336,0,26,3,3,0,0,0,0.8813151563753007,ok,phase_native_online_phase_crossing
stu3_66,valid,squat,9,1,8,"[[291,344]]","[[180,227],[227,282],[282,337],[337,391],[392,450],[450,494],[494,553],[553,600],[600,649]]",knee_flex,0.8064033196163303,0,6,1,1,0,0,0,0.8887343532684284,ok,phase_native_online_phase_crossing
stu5_71,valid,squat,19,7,12,"[[323,376],[376,426],[491,533],[684,733],[752,787],[805,840],[953,989]]","[[19,64],[64,118],[118,185],[185,244],[244,308],[308,369],[369,425],[425,486],[486,539],[539,590],[590,634],[634,684],[684,736],[736,787],[787,839],[839,889],[889,942],[942,989],[989,1030]]",knee_flex,0.6943882457817689,2,20,9,7,2,6,1,0.8649706457925636,ok,phase_native_online_phase_crossing
stu6_57,valid,squat,15,3,12,"[[406,455],[546,592],[955,992]]","[[45,126],[127,210],[210,275],[275,358],[358,421],[421,494],[496,564],[564,639],[639,712],[712,802],[1121,1201],[1203,1270],[1273,1355],[1355,1421],[1422,1495]]",knee_flex,0.7382547958677192,13,34,16,3,13,36,2,0.8802356020942408,ok,phase_native_online_phase_crossing
stu7_66,valid,squat,13,1,12,"[[232,314]]","[[6,65],[65,134],[138,202],[209,293],[295,374],[377,446],[446,524],[524,600],[600,670],[674,746],[749,819],[819,888],[892,965]]",knee_flex,0.759213688473269,1,6,2,1,1,3,1,0.9016227180527383,ok,phase_native_online_phase_crossing
stu8_37,valid,pull_up,10,10,0,"[[146,195],[269,284],[405,420],[434,457],[457,471],[471,516],[666,705],[705,718],[816,849],[1174,1232]]","[[122,231],[231,315],[315,402],[402,493],[493,580],[580,680],[680,784],[784,908],[908,1044],[1044,1199]]",elbow_flex,0.6711568796675904,31,79,41,10,31,75,7,0.9092331768388107,ok,phase_native_online_phase_crossing
train2716,valid,push_up,10,2,8,"[[131,175],[227,249]]","[[1,32],[32,62],[62,90],[90,121],[121,154],[154,183],[183,213],[213,244],[244,272],[273,299]]",elbow_flex,0.5977842975505525,1,7,3,2,1,2,0,0.8686868686868687,ok,phase_native_online_phase_crossing
